,perceelid,perceeltype,huisnr,huisnr_bag_letter,huisnr_bag_toevoeging,bag_nummeraanduidingid,bag_adresseerbaarobjectid,lat,lon,rdx,rdy,oppervlakte,gebruiksdoel,reeksid
309016,310102,verblijfsobject,36,,H,363200000200272.0,363010000739347.0,52.35017004,4.90260737,121982.0,484806.0,53,woonfunctie,14659
309017,310103,verblijfsobject,38,,1,363200000200281.0,363010000739356.0,52.35012516,4.90262253,121983.0,484801.0,49,woonfunctie,14659
309018,310104,verblijfsobject,38,,2,363200000200282.0,363010000739357.0,52.35012516,4.90262253,121983.0,484801.0,59,woonfunctie,14659
309019,310105,verblijfsobject,38,,4,363200000200283.0,363010000739358.0,52.35012516,4.90262253,121983.0,484801.0,48,woonfunctie,14659
309020,310106,verblijfsobject,38,,H,363200000200280.0,363010000739355.0,52.35012516,4.90262253,121983.0,484801.0,49,woonfunctie,14659
309021,310107,verblijfsobject,40,,1,363200000200289.0,363010000739364.0,52.35005338,4.90265267,121985.0,484793.0,55,woonfunctie,14659
309022,310108,verblijfsobject,40,,2,363200000200290.0,363010000739365.0,52.35005338,4.90265267,121985.0,484793.0,51,woonfunctie,14659
309023,310109,verblijfsobject,40,,4,363200000200291.0,363010000739366.0,52.35005338,4.90265267,121985.0,484793.0,43,woonfunctie,14659
309024,310110,verblijfsobject,40,,H,363200000200288.0,363010000739363.0,52.35005338,4.90265267,121985.0,484793.0,50,woonfunctie,14659
309025,310111,verblijfsobject,42,,1,363200000200297.0,363010000739372.0,52.35001749,4.90266774,121986.0,484789.0,55,woonfunctie,14659
309026,310112,verblijfsobject,42,,2,363200000200298.0,363010000739373.0,52.35001749,4.90266774,121986.0,484789.0,51,woonfunctie,14659
309027,310113,verblijfsobject,42,,4,363200000200299.0,363010000739374.0,52.35001749,4.90266774,121986.0,484789.0,43,woonfunctie,14659
309028,310114,verblijfsobject,42,,H,363200000200296.0,363010000739371.0,52.35001749,4.90266774,121986.0,484789.0,50,woonfunctie,14659
309029,310115,verblijfsobject,44,,1,363200000200305.0,363010000739380.0,52.34993673,4.90269798,121988.0,484780.0,49,woonfunctie,14659
309030,310116,verblijfsobject,44,,2,363200000200306.0,363010000739381.0,52.34993673,4.90269798,121988.0,484780.0,59,woonfunctie,14659
309031,310117,verblijfsobject,44,,4,363200000200307.0,363010000739382.0,52.34993673,4.90269798,121988.0,484780.0,48,woonfunctie,14659
309032,310118,verblijfsobject,44,,H,363200000200304.0,363010000739379.0,52.34993673,4.90269798,121988.0,484780.0,49,woonfunctie,14659
309033,310119,verblijfsobject,46,,1,363200000200313.0,363010000739388.0,52.34990084,4.90271305,121989.0,484776.0,54,woonfunctie,14660
309034,310120,verblijfsobject,46,,2,363200000200314.0,363010000739389.0,52.34990084,4.90271305,121989.0,484776.0,71,woonfunctie,14660
309035,310121,verblijfsobject,46,,4,363200000200315.0,363010000739390.0,52.34990084,4.90271305,121989.0,484776.0,42,woonfunctie,14660
309036,310122,verblijfsobject,46,,H,363200000200312.0,363010000739387.0,52.34990084,4.90271305,121989.0,484776.0,54,woonfunctie,14660
309037,310123,verblijfsobject,48,,1,363200000200321.0,363010000739396.0,52.34982906,4.90274318,121991.0,484768.0,54,woonfunctie,14660
309038,310124,verblijfsobject,48,,2,363200000200322.0,363010000739397.0,52.34982906,4.90274318,121991.0,484768.0,71,woonfunctie,14660
309039,310125,verblijfsobject,48,,4,363200000200323.0,363010000739398.0,52.34982906,4.90274318,121991.0,484768.0,42,woonfunctie,14660
309040,310126,verblijfsobject,48,,H,363200000200320.0,363010000739395.0,52.34982906,4.90274318,121991.0,484768.0,54,woonfunctie,14660
309041,310127,verblijfsobject,50,,1,363200000200329.0,363010000739404.0,52.34978418,4.90275835,121992.0,484763.0,65,woonfunctie,14660
309042,310128,verblijfsobject,50,,2,363200000200330.0,363010000739405.0,52.34978418,4.90275835,121992.0,484763.0,71,woonfunctie,14660
309043,310129,verblijfsobject,50,,H,363200000200328.0,363010000739403.0,52.34978418,4.90275835,121992.0,484763.0,65,woonfunctie,14660
309044,310130,verblijfsobject,52,,1,363200000200336.0,363010000739411.0,52.34943386,4.9028062,121995.0,484724.0,62,woonfunctie,14660
